key,status,filename,title,year,entrytype,doi,url,final_source_url,method,note
R20,paywalled_or_no_public_pdf,R20.pdf,Vehicle Detection and Classification for Low-Speed Congested Traffic With Anisotropic Magnetoresistive Sensor,2015,article,10.1109/jsen.2014.2359014,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R21,paywalled_or_no_public_pdf,R21.pdf,Automatic Vehicle Classification Using Wireless Magnetic Sensor,2009,inproceedings,10.1109/idaacs.2009.5342949,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R22,paywalled_or_no_public_pdf,R22.pdf,Vehicle Detection and Classification by Measuring and Processing Magnetic Signal,2011,article,10.1016/j.measurement.2010.09.044,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R23,paywalled_or_no_public_pdf,R23.pdf,Vehicle Classification with Single Multi-Functional Magnetic Sensor and Optimal MNS-Based CART,2014,article,10.1016/j.measurement.2014.04.028,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R25,paywalled_or_no_public_pdf,R25.pdf,MagMonitor: Vehicle Speed Estimation and Vehicle Classification Through A Magnetic Sensor,2022,article,10.1109/tits.2020.3024652,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R26,paywalled_or_no_public_pdf,R26.pdf,Deep Learning Approaches for Vehicle Type Classification with a Single 3-D Magnetic Sensor Node,2022,article,10.1016/j.comnet.2022.109326,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R43,paywalled_or_no_public_pdf,R43.pdf,Geomagnetic Sensor Based Abnormal Parking Detection in Smart Roads,2023,inproceedings,10.1109/globecom54140.2023.10437955,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R44,paywalled_or_no_public_pdf,R44.pdf,Smart Parking Sensors: State of the Art and Performance Evaluation,2020,article,10.1016/j.jclepro.2020.121181,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R45,skipped_existing,R45.pdf,An Improved Roadside Parking Space Occupancy Detection Method Based on Magnetic Sensors and Wireless Signal Strength,2019,article,10.3390/s19102348,,,existing,Existing PDF passed validation and was kept.
R47,paywalled_or_no_public_pdf,R47.pdf,Parking Detection Method Based on Finite-State Machine and Collaborative Decision-Making,2018,article,10.1109/jsen.2018.2871869,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R49,skipped_existing,R49.pdf,A Survey of Intelligent Car Parking System,2013,article,10.1016/S1665-6423(13)71580-3,,,existing,Existing PDF passed validation and was kept.
R52,paywalled_or_no_public_pdf,R52.pdf,"Smart Parking Sensors, Technologies and Applications for Open Parking Lots: A Review",2018,article,10.1049/iet-its.2017.0406,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch2_ding2004signal,paywalled_or_no_public_pdf,ch2_ding2004signal.pdf,Signal Processing of Sensor Node Data for Vehicle Detection,2004,inproceedings,10.1109/itsc.2004.1398874,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch2_sifuentes2011wakeup,paywalled_or_no_public_pdf,ch2_sifuentes2011wakeup.pdf,Wireless Magnetic Sensor Node for Vehicle Detection With Optical Wake-Up,2011,article,10.1109/jsen.2010.2103937,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch2_taghvaeeyan2014portable,paywalled_or_no_public_pdf,ch2_taghvaeeyan2014portable.pdf,"Portable Roadside Sensors for Vehicle Counting, Classification, and Speed Measurement",2014,article,10.1109/tits.2013.2273876,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch2_wang2011easitia,paywalled_or_no_public_pdf,ch2_wang2011easitia.pdf,EasiTia: A Pervasive Traffic Information Acquisition System Based on Wireless Sensor Networks,2011,article,10.1109/tits.2010.2096467,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch2_zhang2011realtime,paywalled_or_no_public_pdf,ch2_zhang2011realtime.pdf,Real-Time Traffic Monitoring with Magnetic Sensor Networks,2011,article,10.1109/icc.2009.5199394,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch2_bernas2018lowcost,skipped_existing,ch2_bernas2018lowcost.pdf,A Survey and Comparison of Low-Cost Sensing Technologies for Road Traffic Monitoring,2018,article,10.3390/s18103243,,,existing,Existing PDF passed validation and was kept.
ch3_sakoe1978dtw,paywalled_or_no_public_pdf,ch3_sakoe1978dtw.pdf,Dynamic Programming Algorithm Optimization for Spoken Word Recognition,1978,article,10.1109/tassp.1978.1163055,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch3_petitjean2011dba,paywalled_or_no_public_pdf,ch3_petitjean2011dba.pdf,"A Global Averaging Method for Dynamic Time Warping, with Applications to Clustering",2011,article,10.1016/j.patcog.2010.09.013,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch3_xu2018imbalanced,skipped_existing,ch3_xu2018imbalanced.pdf,Vehicle Classification Using an Imbalanced Dataset Based on a Single Magnetic Sensor,2018,article,10.3390/s18061690,,,existing,Existing PDF passed validation and was kept.
ch3_zhang2019featureselection,paywalled_or_no_public_pdf,ch3_zhang2019featureselection.pdf,Vehicle Classification Based on Feature Selection With Anisotropic Magnetoresistive Sensor,2019,article,10.1109/jsen.2019.2928828,,,failed,"A bibliographic record was found, but no public PDF was reachable."
breiman2001randomforests,downloaded,breiman2001randomforests.pdf,Random Forests,2001,article,10.1023/A:1010933404324,,https://link.springer.com/content/pdf/10.1023/A:1010933404324.pdf?error=cookies_not_supported&code=bb040ec5-2299-493e-8ad6-173e1764a587,doi:crossref_link,Downloaded via doi:crossref_link.
ch3_li2020singlemag,skipped_existing,ch3_li2020singlemag.pdf,Vehicle Classification and Speed Estimation Based on a Single Magnetic Sensor,2020,article,10.1109/ACCESS.2020.3008483,,,existing,Existing PDF passed validation and was kept.
ch3_sarcevic2022singlemag,skipped_existing,ch3_sarcevic2022singlemag.pdf,Real-Time Vehicle Classification System Using a Single Magnetometer,2022,article,10.3390/s22239299,,,existing,Existing PDF passed validation and was kept.
ch3_mps_ga8022019,not_found,ch3_mps_ga8022019.pdf,GA-802-2019. 道路交通管理机动车类型,2019,standard,,,,failed,No public PDF source was found.
ch4_lin2017surveyparking,paywalled_or_no_public_pdf,ch4_lin2017surveyparking.pdf,A Survey of Smart Parking Solutions,2017,article,10.1109/tits.2017.2685143,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch4_bagula2015networks,skipped_existing,ch4_bagula2015networks.pdf,On the Design of Smart Parking Networks in the Smart Cities: An Optimal Sensor Placement Model,2015,article,10.3390/s150715443,,,existing,Existing PDF passed validation and was kept.
ch4_zhang2015amr,paywalled_or_no_public_pdf,ch4_zhang2015amr.pdf,A Parking Occupancy Detection Algorithm Based on AMR Sensor,2015,article,10.1109/jsen.2014.2362122,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch4_zhang2020railway,paywalled_or_no_public_pdf,ch4_zhang2020railway.pdf,A Robust Parking Detection Algorithm Against Electric Railway Magnetic Field Interference,2020,article,10.1109/tits.2019.2923465,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch4_zhang2020tracking,paywalled_or_no_public_pdf,ch4_zhang2020tracking.pdf,Collaborative Sensing-Based Parking Tracking System with Wireless Magnetic Sensor Network,2020,article,10.1109/jsen.2020.2965560,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch4_huang2017easydeploy,paywalled_or_no_public_pdf,ch4_huang2017easydeploy.pdf,Toward an Easy Deployable Outdoor Parking System---Lessons from Long-Term Deployment,2017,inproceedings,10.1109/percom.2017.7917869,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch4_zhu2016crosscorr,paywalled_or_no_public_pdf,ch4_zhu2016crosscorr.pdf,A Cross-Correlation Technique for Vehicle Detections in Wireless Magnetic Sensor Network,2016,article,10.1109/jsen.2016.2523601,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch4_gu2013streetparking,paywalled_or_no_public_pdf,ch4_gu2013streetparking.pdf,A Street Parking System Using Wireless Sensor Networks,2013,article,10.1155/2013/107975,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch4_trigona2016smartparking,paywalled_or_no_public_pdf,ch4_trigona2016smartparking.pdf,Implementation and Characterization of a Smart Parking System Based on 3-Axis Magnetic Sensors,2016,inproceedings,10.1109/i2mtc.2016.7520379,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch5_shi2016edge,paywalled_or_no_public_pdf,ch5_shi2016edge.pdf,Edge Computing: Vision and Challenges,2016,article,10.1109/jiot.2016.2579198,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch5_ray2022tinyml,paywalled_or_no_public_pdf,ch5_ray2022tinyml.pdf,A Review on TinyML: State-of-the-Art and Prospects,2022,article,10.1016/j.jksuci.2021.11.019,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ch5_abadade2023tinyml,skipped_existing,ch5_abadade2023tinyml.pdf,A Comprehensive Survey on TinyML,2023,article,10.1109/ACCESS.2023.3294111,,,existing,Existing PDF passed validation and was kept.
culik2023wirelessurban,skipped_existing,culik2023wirelessurban.pdf,Application of Wireless Magnetic Sensors in the Urban Environment and Their Accuracy Verification,2023,article,10.3390/s23125740,,,existing,Existing PDF passed validation and was kept.
marshall1978magnetic,paywalled_or_no_public_pdf,marshall1978magnetic.pdf,Vehicle Detection Using A Magnetic Field Sensor,1978,article,10.1109/t-vt.1978.23725,,,failed,"A bibliographic record was found, but no public PDF was reachable."
velisavljevic2016wmsn,skipped_existing,velisavljevic2016wmsn.pdf,Wireless Magnetic Sensor Network for Road Traffic Monitoring and Vehicle Classification,2016,article,10.1515/ttj-2016-0024,,,existing,Existing PDF passed validation and was kept.
